iter	Logloss
0	0.671901932
1	0.652769865
2	0.6372315769
3	0.6217129582
4	0.606382383
5	0.5915583145
6	0.5788845167
7	0.5656150488
8	0.555949485
9	0.544236116
10	0.5363956155
11	0.5295109141
12	0.5210029562
13	0.5129389318
14	0.506469367
15	0.499632369
16	0.4928067552
17	0.4860035938
18	0.4804756913
19	0.474597688
20	0.4681024551
21	0.4617463909
22	0.456876
23	0.4518432635
24	0.4474699829
25	0.4423970277
26	0.4377407271
27	0.434074994
28	0.4308598611
29	0.4272995097
30	0.4230833591
31	0.4199334696
32	0.4159269303
33	0.4132497908
34	0.4095315545
35	0.407443288
36	0.4043033353
37	0.4016374385
38	0.3995245088
39	0.3975198167
40	0.394920447
41	0.3929473297
42	0.3910941303
43	0.3888756423
44	0.386753981
45	0.3849840722
46	0.3830917087
47	0.3811770819
48	0.3794758435
49	0.3772649161
50	0.3749207782
51	0.3734070912
52	0.3716824622
53	0.3701544502
54	0.3685115458
55	0.3670347914
56	0.3652757399
57	0.3637002757
58	0.3614976206
59	0.3605957773
60	0.3595911524
61	0.3584761038
62	0.3579877409
63	0.356637674
64	0.3552338614
65	0.3543871218
66	0.3530848312
67	0.3521337548
68	0.3509098371
69	0.3495545909
70	0.3486010374
71	0.3474783167
72	0.3462436924
73	0.3454336834
74	0.3447323988
75	0.3439268603
76	0.3430780035
77	0.3420688789
78	0.341206071
79	0.3402397067
80	0.3393613541
81	0.3389069806
82	0.3379978242
83	0.337111683
84	0.3360848428
85	0.3343988156
86	0.3337675972
87	0.3328845972
88	0.3321213257
89	0.3315771769
90	0.3307116089
91	0.330070125
92	0.3296458717
93	0.3290268382
94	0.3283659442
95	0.3275589697
96	0.3263108959
97	0.3254297857
98	0.3247410254
99	0.3238287224
3050217078
